# TABLE: IncidentType
# Description: Maps each Incident (child) to its parent LossType category
# Columns: IncidentCode, Incident, LossTypeCode, LossType
# Usage: Join GovtLossData.csv on Incident field

TableName,IncidentCode,Incident,LossTypeCode,LossType
IncidentType,INC-001,Accidental Loss Destruction or Damage,LT-001,Property Loss
IncidentType,INC-002,"Offence, illegal act or accident",LT-002,"Offence, illegal act or accident"
IncidentType,INC-003,Offence or Other Illegal Act,LT-001,Property Loss
IncidentType,INC-004,Loss of revenues due to Customs Act infractions,LT-003,Revenue loss (fraud or willful misrepresentation)
IncidentType,INC-005,Loss of revenues dues to Customs Act infractions Non report/Smuggling,LT-003,Revenue loss (fraud or willful misrepresentation)
IncidentType,INC-006,Fraudulent use of customer's weather account,LT-003,Revenue loss (fraud or willful misrepresentation)
IncidentType,INC-007,Loss of revenues due to erroneous credit card number,LT-003,Revenue loss (fraud or willful misrepresentation)
IncidentType,INC-008,Cases before the Courts (Canada Revenue Agency's estimate of the amount of tax evaded or refunds fraudulently obtained),LT-003,Revenue loss (fraud or willful misrepresentation)
IncidentType,INC-009,Court convictions (amount of tax evaded or refunds fraudulently obtained as determined by the Court),LT-003,Revenue loss (fraud or willful misrepresentation)
IncidentType,INC-010,Cases before the Courts (CRA's estimate of the amount of tax evaded or refunds fraudulently obtained),LT-003,Revenue loss (fraud or willful misrepresentation)
IncidentType,INC-011,Loss of revenues due to the GCSurplus program,LT-003,Revenue loss (fraud or willful misrepresentation)

# TABLE: Department
# Description: Maps each department number to its name and parent portfolio
# Columns: DeptNbr, Department, PortfolioCode, Portfolio
# Usage: Join GovtLossData.csv on Dept-nbr_No-min field

TableName,DeptNbr,Department,PortfolioCode,Portfolio
Department,1,Department of Agriculture and Agri-Food,2,Agriculture and Agri-Food
Department,2,Office of the Auditor General,7,Finance
Department,3,Canadian International Development Agency,9,Global Affairs
Department,4,Public Service Commission,19,Privy Council
Department,5,"Department of Foreign Affairs, Trade and Development",9,Global Affairs
Department,6,Department of Finance,7,Finance
Department,7,Department of the Environment,6,Environment and Climate Change
Department,8,Office of the Governor General's Secretary,10,Governor General
Department,9,The Senate,18,Parliament
Department,11,Office of the Superintendent of Financial Institutions,7,Finance
Department,12,Economic Development Agency of Canada for the Regions of Quebec,14,Industry & Economic Development
Department,13,Department of Justice,15,Justice
Department,14,Department of Employment and Social Development,12,Employment and Social Development
Department,15,Chief Electoral Officer,33,Public Safety - Democratic Institutions and Intergovernmental Affairs
Department,16,Canadian Radio-television and Telecommunications Commission,4,Heritage
Department,17,Library of Parliament,18,Parliament
Department,18,Department of National Defence,16,National Defence
Department,19,Office of the Director of Public Prosecutions,15,Justice
Department,21,Department of Veterans Affairs,24,Veterans Affairs
Department,22,Department of Health,11,Health
Department,23,Atlantic Canada Opportunities Agency,14,Industry & Economic Development
Department,25,Privy Council Office,19,Privy Council
Department,27,Natural Sciences and Engineering Research Council,14,Industry & Economic Development
Department,30,Royal Canadian Mounted Police,21,Public Safety - Democratic Institutions and Intergovernmental Affairs
Department,32,Immigration and Refugee Board of Canada,5,"Immigration, Refugees, and Citizenship"
Department,33,Department of Industry,14,Industry & Economic Development
Department,34,Department of Transport,22,Transport
Department,35,National Research Council of Canada,14,Industry & Economic Development
